entity_key,file_name,sheet_name,row_number,message,raw_value
PED20260617357293372920322991,ANALISE MI.xlsx,PEDIDOS,866,"Status divergente entre arquivos para PED20260617357293372920322991: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260617357293372920322992,ANALISE MI.xlsx,PEDIDOS,867,"Status divergente entre arquivos para PED20260617357293372920322992: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED202606173577717782637281008,ANALISE MI.xlsx,PEDIDOS,902,"Status divergente entre arquivos para PED202606173577717782637281008: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED202606173577717782637281009,ANALISE MI.xlsx,PEDIDOS,903,"Status divergente entre arquivos para PED202606173577717782637281009: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED202606173578187045275591017,ANALISE MI.xlsx,PEDIDOS,910,"Status divergente entre arquivos para PED202606173578187045275591017: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED202606173578187045275591016,ANALISE MI.xlsx,PEDIDOS,911,"Status divergente entre arquivos para PED202606173578187045275591016: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED202606173578798248164391032,ANALISE MI.xlsx,PEDIDOS,933,"Status divergente entre arquivos para PED202606173578798248164391032: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED202606173578798248164391033,ANALISE MI.xlsx,PEDIDOS,934,"Status divergente entre arquivos para PED202606173578798248164391033: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED202606173578831199916591035,ANALISE MI.xlsx,PEDIDOS,936,"Status divergente entre arquivos para PED202606173578831199916591035: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED202606173578831199916591034,ANALISE MI.xlsx,PEDIDOS,937,"Status divergente entre arquivos para PED202606173578831199916591034: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED202606173579232193772741036,ANALISE MI.xlsx,PEDIDOS,938,"Status divergente entre arquivos para PED202606173579232193772741036: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED202606173579232193772741037,ANALISE MI.xlsx,PEDIDOS,939,"Status divergente entre arquivos para PED202606173579232193772741037: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260612358021948718451362,ANALISE MI.xlsx,PEDIDOS,945,"Status divergente entre arquivos para PED20260612358021948718451362: primário=""CONCLUIDO"", secundário=""SEM SALDO"".",SEM SALDO
PED202606173587103357815731067,ANALISE MI.xlsx,PEDIDOS,991,"Status divergente entre arquivos para PED202606173587103357815731067: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED202606173587103357815731066,ANALISE MI.xlsx,PEDIDOS,992,"Status divergente entre arquivos para PED202606173587103357815731066: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260609358845632834137115,ANALISE MI.xlsx,PEDIDOS,1000,"Status divergente entre arquivos para PED20260609358845632834137115: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260609358845632834137116,ANALISE MI.xlsx,PEDIDOS,1001,"Status divergente entre arquivos para PED20260609358845632834137116: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260616358989492448560461,ANALISE MI.xlsx,PEDIDOS,1012,"Status divergente entre arquivos para PED20260616358989492448560461: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED202606173589894924485601081,ANALISE MI.xlsx,PEDIDOS,1013,"Status divergente entre arquivos para PED202606173589894924485601081: primário=""PEDIR PECA"", secundário=""SEM SALDO"".",SEM SALDO
PED20260609359056817122012119,ANALISE MI.xlsx,PEDIDOS,1015,"Status divergente entre arquivos para PED20260609359056817122012119: primário=""CONCLUIDO"", secundário=""PEDIR PECA"".",PEDIR PECA
PED20260611359984541961860347,ANALISE MI.xlsx,PEDIDOS,1055,"Status divergente entre arquivos para PED20260611359984541961860347: primário=""CONCLUIDO"", secundário=""PEDIR PECA"".",PEDIR PECA
